Bartonella species,Isolate/Strain/Clone,GenBank accession number,Nickname,Group
B. sp. Cyclopodia greefi,Cg_K8-1,JN172037,B._sp._Cyclopodia.greefi_Cg_K8-1_JN172037,2
B. sp. Cyclopodia greefi,Cg_Q100-2,JN172040,B._sp._Cyclopodia.greefi_Cg_Q100-2_JN172040,2
B. sp. Cyclopodia greefi,Cg_Q98-1,JN172039,B._sp._Cyclopodia.greefi_Cg_Q98-1_JN172039,2
B. sp. Cyclopodia greefi,Eh7-0310-A131,MN250730,B._sp._Cyclopodia.greefi_Eh7-0310-A131,3
B. sp. Eidolon helvum,E1-105,HM363765,B._sp._Eidolon.helvum_E1-105_HM363765,2
B. sp. Eidolon helvum,E2-114,HM363766,B._sp._Eidolon.helvum_E2-114_HM363766,2
B. sp. Eidolon helvum,E3-106,HM363767,B._sp._Eidolon.helvum_E3-106_HM363767,2
B. sp. Eidolon helvum,E4_B39301,KM030516,B._sp._Eidolon.helvum_E4_B39301_KM030516,2
B. sp. Eidolon helvum,E5_B40014,KM030520,B._sp._Eidolon.helvum_E5_B40014_KM030520,2
B. sp. Eidolon helvum,Eh6-0110-R43,MN250731,B._sp._Eidolon.helvum_Eh6-0110-R43,3
B. sp. Eidolon helvum,Eh6-0310-A146,MN250732,B._sp._Eidolon.helvum_Eh6-0310-A146,3
B. sp. Eidolon helvum,Eh6-0310-A147,MN250733,B._sp._Eidolon.helvum_Eh6-0310-A147,3
B. sp. Eidolon helvum,Eh6-0310-A188,MN250734,B._sp._Eidolon.helvum_Eh6-0310-A188,3
B. sp. Eidolon helvum,Eh6-0311-A083,MN250735,B._sp._Eidolon.helvum_Eh6-0311-A083,3
B. sp. Eidolon helvum,Eh6-0311-A192,MN250736,B._sp._Eidolon.helvum_Eh6-0311-A192,3
B. sp. Eidolon helvum,Eh6-0311-BJ1,MN250737,B._sp._Eidolon.helvum_Eh6-0311-BJ1,3
B. sp. Eidolon helvum,Eh6-0510-A106,MN250738,B._sp._Eidolon.helvum_Eh6-0510-A106,3
B. sp. Eidolon helvum,Eh6-0510-A151,MN250739,B._sp._Eidolon.helvum_Eh6-0510-A151,3
B. sp. Eidolon helvum,Eh6-0510-A155,MN250740,B._sp._Eidolon.helvum_Eh6-0510-A155,3
B. sp. Eidolon helvum,Eh6-0510-A166,MN250741,B._sp._Eidolon.helvum_Eh6-0510-A166,3
B. sp. Eidolon helvum,Eh6-0510-A188,MN250742,B._sp._Eidolon.helvum_Eh6-0510-A188,3
B. sp. Eidolon helvum,Eh6-0710-A095,MN250743,B._sp._Eidolon.helvum_Eh6-0710-A095,3
B. sp. Eidolon helvum,Eh6-0710-A155,MN250744,B._sp._Eidolon.helvum_Eh6-0710-A155,3
B. sp. Eidolon helvum,Eh6-0710-BJ1,MN250745,B._sp._Eidolon.helvum_Eh6-0710-BJ1,3
B. sp. Eidolon helvum,Eh6-0710-BJ4,MN250746,B._sp._Eidolon.helvum_Eh6-0710-BJ4,3
B. sp. Eidolon helvum,Eh6-0711-B153,MN250747,B._sp._Eidolon.helvum_Eh6-0711-B153,3
B. sp. Eidolon helvum,Eh6-0910-A090,MN250748,B._sp._Eidolon.helvum_Eh6-0910-A090,3
B. sp. Eidolon helvum,Eh6-0910-A108,MN250749,B._sp._Eidolon.helvum_Eh6-0910-A108,3
B. sp. Eidolon helvum,Eh6-0910-A111,MN250750,B._sp._Eidolon.helvum_Eh6-0910-A111,3
B. sp. Eidolon helvum,Eh6-0910-A115,MN250751,B._sp._Eidolon.helvum_Eh6-0910-A115,3
B. sp. Eidolon helvum,Eh6-0910-A123,MN250752,B._sp._Eidolon.helvum_Eh6-0910-A123,3
B. sp. Eidolon helvum,Eh6-0910-A151,MN250753,B._sp._Eidolon.helvum_Eh6-0910-A151,3
B. sp. Eidolon helvum,Eh6-0910-B111,MN250754,B._sp._Eidolon.helvum_Eh6-0910-B111,3
B. sp. Eidolon helvum,Eh6-1109-Q131,MN250755,B._sp._Eidolon.helvum_Eh6-1109-Q131,3
B. sp. Eidolon helvum,Eh6-1110-A102,MN250756,B._sp._Eidolon.helvum_Eh6-1110-A102,3
B. sp. Eidolon helvum,Eh6-1110-A115,MN250757,B._sp._Eidolon.helvum_Eh6-1110-A115,3
B. sp. Eidolon helvum,Eh6-1110-A130,MN250758,B._sp._Eidolon.helvum_Eh6-1110-A130,3
B. sp. Eidolon helvum,Eh6-1110-A147,MN250759,B._sp._Eidolon.helvum_Eh6-1110-A147,3
B. sp. Eidolon helvum,Eh6-1110-BJ1,MN250760,B._sp._Eidolon.helvum_Eh6-1110-BJ1,3
B. sp. Eidolon helvum,Eh6-170112-D046,MN250761,B._sp._Eidolon.helvum_Eh6-170112-D046,3
B. sp. Eidolon helvum,Eh6-170112-D074,MN250762,B._sp._Eidolon.helvum_Eh6-170112-D074,3
B. sp. Eidolon helvum,Eh7-0110-R16,MN250763,B._sp._Eidolon.helvum_Eh7-0110-R16,3
B. sp. Eidolon helvum,Eh7-0110-R79,MN250764,B._sp._Eidolon.helvum_Eh7-0110-R79,3
B. sp. Eidolon helvum,Eh7-0310-A153,MN250765,B._sp._Eidolon.helvum_Eh7-0310-A153,3
B. sp. Eidolon helvum,Eh7-0310-A193,MN250766,B._sp._Eidolon.helvum_Eh7-0310-A193,3
B. sp. Eidolon helvum,Eh7-0510-A193,MN250767,B._sp._Eidolon.helvum_Eh7-0510-A193,3
B. sp. Eidolon helvum,Eh7-0710-A153,MN250768,B._sp._Eidolon.helvum_Eh7-0710-A153,3
B. sp. Eidolon helvum,Eh7-170112-D048,MN250769,B._sp._Eidolon.helvum_Eh7-170112-D048,3
B. sp. Eidolon helvum,Eh7-170112-D062,MN250770,B._sp._Eidolon.helvum_Eh7-170112-D062,3
B. sp. Eidolon helvum,Eh7-170112-D069,MN250771,B._sp._Eidolon.helvum_Eh7-170112-D069,3
B. sp. Eidolon helvum,Eh7-170112-D084,MN250772,B._sp._Eidolon.helvum_Eh7-170112-D084,3
B. sp. Eidolon helvum,Eh7-170112-D085,MN250773,B._sp._Eidolon.helvum_Eh7-170112-D085,3
B. sp. Eidolon helvum,Eh7-170112-D090,MN250774,B._sp._Eidolon.helvum_Eh7-170112-D090,3
B. sp. Eidolon helvum,Ew-111,HM363768,B._sp._Eidolon.helvum_Ew-111_HM363768,2
